site,PONTO,TIPO,wl_nm,refl_img
IPIXUNA,IPX002,SOLO,913.44507,0.358403921
IPIXUNA,IPX002,SOLO,923.9502,0.410055697
IPIXUNA,IPX002,SOLO,934.11206,0.432837427
IPIXUNA,IPX002,SOLO,944.62732,0.439398795
IPIXUNA,IPX002,SOLO,956.27148,0.347127497
IPIXUNA,IPX002,SOLO,967.02667,0.29813078
IPIXUNA,IPX002,SOLO,977.36542,0.326985568
IPIXUNA,IPX002,SOLO,943.35791,0.334935516
IPIXUNA,IPX002,SOLO,951.40143,0.330403596
IPIXUNA,IPX002,SOLO,959.974,0.276462972
IPIXUNA,IPX002,SOLO,969.84491,0.314335853
IPIXUNA,IPX002,SOLO,979.224,0.321538121
IPIXUNA,IPX002,SOLO,988.91791,0.334187835
IPIXUNA,IPX002,SOLO,998.9082,0.343251705
IPIXUNA,IPX002,SOLO,1008.6443,0.353429466
IPIXUNA,IPX002,SOLO,1018.5357,0.358693838
IPIXUNA,IPX002,SOLO,1029.344,0.372838944
IPIXUNA,IPX002,SOLO,1037.9878,0.376440078
IPIXUNA,IPX002,SOLO,1047.675,0.382024884
IPIXUNA,IPX002,SOLO,1057.5737,0.39012742
IPIXUNA,IPX002,SOLO,1067.7948,0.388799876
IPIXUNA,IPX002,SOLO,1078.2161,0.381841779
IPIXUNA,IPX002,SOLO,1088.761,0.381033033
IPIXUNA,IPX002,SOLO,1099.2776,0.366369128
IPIXUNA,IPX002,SOLO,1109.8894,0.357106894
IPIXUNA,IPX002,SOLO,1120.6759,0.37967497100000003
IPIXUNA,IPX002,SOLO,1131.3048,0.549767315
IPIXUNA,IPX002,SOLO,1142.0703,0.423544675
IPIXUNA,IPX002,SOLO,1152.6501,0.311436623
IPIXUNA,IPX002,SOLO,1163.676,0.303593487
IPIXUNA,IPX002,SOLO,1174.7142,0.297856122
IPIXUNA,IPX002,SOLO,1185.5884,0.306721598
IPIXUNA,IPX002,SOLO,1196.3394,0.313923866
IPIXUNA,IPX002,SOLO,1207.2737,0.313344002
IPIXUNA,IPX002,SOLO,1217.8635,0.320195317
IPIXUNA,IPX002,SOLO,1229.1852,0.328496218
IPIXUNA,IPX002,SOLO,1240.2145,0.337605864
IPIXUNA,IPX002,SOLO,1250.9799,0.355992973
IPIXUNA,IPX002,SOLO,1262.5322,0.377874404
IPIXUNA,IPX002,SOLO,1273.4963,0.382391095
IPIXUNA,IPX002,SOLO,1284.4878,0.352208734
IPIXUNA,IPX002,SOLO,1295.4218,0.32141605
IPIXUNA,IPX002,SOLO,1306.218,0.297856122
IPIXUNA,IPX002,SOLO,1317.2566,0.286503404
IPIXUNA,IPX002,SOLO,1328.2993,0.273136497
IPIXUNA,IPX002,SOLO,1339.1294,0.341817349
IPIXUNA,IPX002,SOLO,1459.3157,0.415442139
IPIXUNA,IPX002,SOLO,1469.9308,0.281208515
IPIXUNA,IPX002,SOLO,1480.8422,0.172060728
IPIXUNA,IPX002,SOLO,1491.4292,0.116670482
IPIXUNA,IPX002,SOLO,1502.0236,0.107148848
IPIXUNA,IPX002,SOLO,1512.6333,0.111955442
IPIXUNA,IPX002,SOLO,1523.2222,0.120103762
IPIXUNA,IPX002,SOLO,1533.7764,0.126527816
IPIXUNA,IPX002,SOLO,1544.2262,0.133195996
IPIXUNA,IPX002,SOLO,1554.8168,0.136552989
IPIXUNA,IPX002,SOLO,1565.3688,0.143862054
IPIXUNA,IPX002,SOLO,1575.6274,0.153505757
IPIXUNA,IPX002,SOLO,1585.8597,0.160601199
IPIXUNA,IPX002,SOLO,1596.2454,0.165712982
IPIXUNA,IPX002,SOLO,1606.4913,0.169756621
IPIXUNA,IPX002,SOLO,1616.8336,0.175371945
IPIXUNA,IPX002,SOLO,1627.021,0.175722897
IPIXUNA,IPX002,SOLO,1637.0919,0.176928356
IPIXUNA,IPX002,SOLO,1647.2316,0.178301677
IPIXUNA,IPX002,SOLO,1656.933,0.18052949
IPIXUNA,IPX002,SOLO,1667.1851,0.178912029
IPIXUNA,IPX002,SOLO,1677.3193,0.179751277
IPIXUNA,IPX002,SOLO,1687.4269,0.178118557
IPIXUNA,IPX002,SOLO,1697.2943,0.177523464
IPIXUNA,IPX002,SOLO,1707.0945,0.174212247
IPIXUNA,IPX002,SOLO,1716.8589,0.171557188
IPIXUNA,IPX002,SOLO,1726.6516,0.173083082
IPIXUNA,IPX002,SOLO,1736.4883,0.16656749
IPIXUNA,IPX002,SOLO,1746.2192,0.156466007
IPIXUNA,IPX002,SOLO,1755.833,0.158312351
IPIXUNA,IPX002,SOLO,1765.5127,0.152239263
IPIXUNA,IPX002,SOLO,1775.1178,0.147982001
IPIXUNA,IPX002,SOLO,1784.7173,0.176134884
IPIXUNA,IPX002,SOLO,1793.9531,0.253742278
IPIXUNA,IPX002,SOLO,1958.6244,0.234470129
IPIXUNA,IPX002,SOLO,1967.3418,0.092668042
IPIXUNA,IPX002,SOLO,1976.0129,0.052140079
IPIXUNA,IPX002,SOLO,1984.853,0.044846267
IPIXUNA,IPX002,SOLO,1993.5482,0.05243
IPIXUNA,IPX002,SOLO,2002.1106,0.077836268
IPIXUNA,IPX002,SOLO,2010.6614,0.089799345
IPIXUNA,IPX002,SOLO,2019.3214,0.063157089
IPIXUNA,IPX002,SOLO,2027.7267,0.056061648
IPIXUNA,IPX002,SOLO,2036.2607,0.05757229
IPIXUNA,IPX002,SOLO,2044.6809,0.063752197
IPIXUNA,IPX002,SOLO,2053.0078,0.066849776
IPIXUNA,IPX002,SOLO,2061.3787,0.079102769
IPIXUNA,IPX002,SOLO,2069.7957,0.069611661
IPIXUNA,IPX002,SOLO,2077.9915,0.069993131
IPIXUNA,IPX002,SOLO,2086.3823,0.069169149
IPIXUNA,IPX002,SOLO,2094.6252,0.071732663
IPIXUNA,IPX002,SOLO,2102.8213,0.069260702
IPIXUNA,IPX002,SOLO,2111.0391,0.070084691
IPIXUNA,IPX002,SOLO,2119.2314,0.072907604
IPIXUNA,IPX002,SOLO,2127.3372,0.076066226
IPIXUNA,IPX002,SOLO,2135.5103,0.079011217
IPIXUNA,IPX002,SOLO,2143.4656,0.08204776
IPIXUNA,IPX002,SOLO,2151.3862,0.084000915
IPIXUNA,IPX002,SOLO,2159.564,0.079407953
